[2026-08-25T14:29:51.188Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (1ms, -189B)
[2026-08-25T14:29:51.188Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (1ms, -189B)
[2026-08-25T14:29:51.188Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:29:51.188Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:29:51.189Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:29:51.189Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:29:53.935Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:29:53.939Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (11ms, -189B)
[2026-08-25T14:29:53.939Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (11ms, -189B)
[2026-08-25T14:29:53.939Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:29:53.940Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 304 (11ms, ?B)
[2026-08-25T14:29:53.940Z] GET http://localhost:8899/assets/mms_logo.svg → 304 (11ms, ?B)
[2026-08-25T14:29:53.940Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:29:56.644Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (11ms, ?B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (11ms, ?B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/styles.css → 200 (?ms, -187B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:29:56.648Z] GET http://localhost:8899/script.js → 200 (1ms, -193B)
[2026-08-25T14:30:18.914Z] GET http://localhost:8899/ → 200 (7ms, ?B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (3ms, -189B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (3ms, -189B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/styles.css → 304 (3ms, ?B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:30:18.926Z] GET http://localhost:8899/script.js → 304 (3ms, ?B)
[2026-08-25T14:30:38.650Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:30:38.656Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (10ms, -189B)
[2026-08-25T14:30:38.656Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (10ms, -189B)
[2026-08-25T14:30:38.656Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:30:38.657Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:30:38.657Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:30:38.657Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:30:56.203Z] GET http://localhost:8899/ → 200 (3ms, ?B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (16ms, -189B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (15ms, -189B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/styles.css → 200 (?ms, 27281B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:30:56.210Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:31:15.751Z] GET http://localhost:8899/ → 200 (?ms, -188B)
[2026-08-25T14:31:15.754Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:31:15.755Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:31:15.755Z] GET http://localhost:8899/styles.css → 200 (?ms, 27265B)
[2026-08-25T14:31:15.755Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:31:15.755Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:31:15.755Z] GET http://localhost:8899/script.js → 304 (1ms, ?B)
[2026-08-25T14:31:18.681Z] GET http://localhost:8899/ → 200 (1ms, -188B)
[2026-08-25T14:31:18.685Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (1ms, -189B)
[2026-08-25T14:31:18.686Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:31:18.686Z] GET http://localhost:8899/styles.css → 304 (?ms, ?B)
[2026-08-25T14:31:18.686Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:31:18.686Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (?ms, -192B)
[2026-08-25T14:31:18.686Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
[2026-08-25T14:31:21.574Z] GET http://localhost:8899/ → 200 (?ms, -188B)
[2026-08-25T14:31:21.578Z] GET http://localhost:8899/assets/fonts/bodoni-moda-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:31:21.578Z] GET http://localhost:8899/assets/fonts/inter-latin.woff2 → 200 (?ms, -189B)
[2026-08-25T14:31:21.578Z] GET http://localhost:8899/styles.css → 304 (1ms, ?B)
[2026-08-25T14:31:21.578Z] GET http://localhost:8899/assets/CLAN_YUJO_LOGO_FULL_1__Vectorized_.svg → 200 (?ms, -191B)
[2026-08-25T14:31:21.578Z] GET http://localhost:8899/assets/mms_logo.svg → 200 (1ms, -192B)
[2026-08-25T14:31:21.579Z] GET http://localhost:8899/script.js → 200 (?ms, -193B)
